chinese,count
航母,130
米亞,130
治安,130
進場,130
典範,130
磐石,130
公衛,130
藍,130
陳建仁,130
地震,130
小國,130
戰火,130
規,130
同仁,130
修正案,130
蘇納克,129
籌碼,129
沈伯洋,129
觀念,129
全黨,129
察院,129
聯發科,128
政委,128
市議,128
動機,128
河北,128
陣線,128
實施,128
沈慧虹,128
機動,128
總長,128
球員,128
抗體,128
途徑,127
共產,127
漲,127
葛,127
專責,127
叢昌瑾,127
悲劇,127
信息,127
劇,127
郭國文,126
主體,126
總數,126
室主任,126
台廠,126
商圈,126
上市公司,126
滑雪,126
當場,126
陰影,126
差異,126
分局,126
母公司,126
陽,126
台灣本島,125
百姓,125
毛額,125
幻想,125
傳聞,125
關島,125
坦克,125
月間,125
黨魁,125
器,125
華航,125
丈夫,125
航,125
德塞,125
戰鬥機,124
傳媒,124
參議,124
行事,124
南太平洋,124
現役,124
柑橘,124
連帶,124
決議案,124
卓怡君,123
攸關,123
災區,123
洗腦,123
根本就是,123
存款,123
聯電,123
周虹汶,123
低點,123
免疫力,123
有線,123
住宿,123
軍民,122
黃介正,122
南非,122
門口,122
小米,122
猴痘,122
外務,122
福建省,122
中南部,122
元件,122
前,122
漲價,122
標題,122
輝,121
一國,121
流行病,121
福,121
旗,121
中斷,121
行列,121
民運,121
月娥,121
營養,121
災,121
個別,121
雲南,121
專頁,121
特區,121
背書,120
省市,120
航道,120
校院,120
冠軍,120
亮眼,119
中芯,119
抗原,119
所長,119
夫妻,119
蔬菜,119
參眾,119
參觀,119
雲端,119
國策,119
推特,119
顏色,118
洛杉磯,118
假,118
代理人,118
勇士,118
路徑,118
安徽,118
團訪台,118
經商,118
同事,118
憲章,118
巴士,118
效力,117
牆,117
巴西,117
內需,117
戶籍,117
普通,117
篇文章,117
獨家,117
毛,117
組團,117
邱臣遠,117
面積,117
領事館,117
躺平,117
口中,116
用品,116
南亞,116
故宮,116
書店,116
東歐,116
竹北,116
姿態,116
郭台銘,116
角力,116
購物,116
斯洛伐克,116
裝置,116
記,115
供需,115
台生,115
終場,115
幹事,115
集會,115
鬼,115
地理,115
面會,115
羅斯,115
支局,115
負債,115
聖文森,115
圖謀,115
力度,115
李喜明,115
戰書,115
功,115
陳梅英,115
三國,115
吸引力,114
吳怡農,114
外相,114
防線,114
市占率,114
大白,114
沙烏地,114
音樂會,114
法制,114
熊,114
航空器,114
被害人,114
楊雅民,114
專員,114
風波,114
中國醫藥大學附設醫院,114
漁業,114
吳怡,114
法規,114
林祖嘉,114
莫里森,114
陝西,114
典型,114
大都,113
王品,113
藥廠,113
領導者,113
職位,113
殯儀館,113
理器,113
大門,113
傅,113
樣本,113
雪,113
心聲,113
關卡,113
米歇爾,113
居委,113
街,113
衛國,113
浪潮,112
宿舍,112
飲料,112
艾斯培,112
王千豪,112
三劑,112
市長候,112
長輩,112
朝向,112
眼睛,112
皇帝,112
縣議員,112
女王,112
山,112
徒刑,111
文化部,111
村,111
函,111
所需,111
場合,111
公,111
指向,111
楊潔篪,111
人會,111
秦剛,111
樂團,111
反省,111
高原期,111
分支,111
歷年,111
蘇紫雲,111
買家,110
何玉華,110
班機,110
國防院,110
良性,110
反觀,110
領導層,110
薪水,110
潛力,110
新政府,110
遠程,110
森林,110
醫護,110
內海,110
法定,110
徐,110
晚會,110
聯邦,110
邱芷柔,110
江西,109
傳染力,109
不公,109
劍,109
風格,109
子女,109
波恩,109
科技股,109
連江縣,109
紅,109
實務,109
連勝文,109
天數,109
中亞,109
美金,109
張亞,109
謝謝,109
台鐵,109
蘇金鳳,109
引擎,109
安全局,108
型態,108
白色,108
中油,108
興趣,108
朝陽區,108
警政署,108
全域,108
契約,108
情感,108
陽明,108
被告,108
保安,108
彈,108
美國聯邦參議院,108
豪宅,108
事故,108
海洋法,108
佛奇,108
中媒,108
中國隊,108
山區,107
追監,107
臉書粉,107
核定,107
三亞,107
連線,107
晚宴,107
漫畫,107
分流,107
誤訊息,107
勇,107
歌,107
罪行,107
廖雪茹,107
缺貨,107
黑海,107
電動,107
山西,106
哈薩克,106
博物,106
法庭,106
場邊,106
圖書館,106
日本海,106
金廈大橋,106
好友,106
軍用,106
夏威夷,106
南北,106
長蘇,106
孫,105
交貨,105
經費,105
誤導,105
用心,105
人體,105
小英,105
衛生大會,105
列車,105
遠東,105
鄭琪芳,105
錢利忠,105
匡列,105
乘客,105
集權,105
總處,105
學童,105
浦東,105
站上,105
聲援,105
熱絡,105
肩,105
起源,105
敵,105
鄉鎮,104
國力,104
政局,104
皇家,104
雷,104
美中台,104
大城市,104
探親,104
歌曲,104
見面,104
東北,104
程式,103
陝西省,103
口服,103
財團,103
戴資穎,103
鏡頭,103
蔡培慧,103
隔天,103
系統性,103
師生,103
藥師,103
造船,102
哲,102
風險區,102
羊,102
主政,102
諸島,102
煤炭,102
徐巧芯,102
陸上,102
電路,102
葛瑞姆,102
以利,102
美國國家,102
首場,102
派兵,102
頻率,102
事人,102
種子,102
鷹,102
司機,102
步步,102
霸,101
用途,101
吉林省,101
敵軍,101
期刊,101
性能,101
海嘯,101
綠能,101
紅利,101
捷運,101
旗艦,101
高盛,101
家用,101
人行,101
外商,101
入境者,101
中市,101
戰役,101
馬基,101
總監,101
張安樂,101
百度,101
建國,101
楊鎮,101
兒園,101
指揮部,101
銀,101
聯席,100
林菁樺,100
通告,100
營區,100
色彩,100
團團,100
觀感,100
長江,100
定案,100
福斯,100
敵意,100
供應鏈,100
民政,100
高中生,100
弱點,100
麥卡錫,100
車站,100
銷量,100
災害,99
費鴻泰,99
高超音速,99
能見度,99
公海,99
巴黎,99
補件,99
效能,99
罪名,99
轉機,99
男,99
壓制,99
核子,99
息,99
手套,99
樞紐,99
料,99
王憶紅,98
亮相,98
面子,98
強森,98
階級,98
新人,98
證會,98
栗,98
口水,98
成交量,98
史考特,98
社論,98
美商,98
同屬,98
酒吧,97
歐盟執委會,97
弱化,97
疾控中心,97
蘇孟娟,97
高速公路,97
釣魚台,97
頻傳,97
魏瑾筠,97
離岸,97
人人,97
軍事化,97
公益,97
蓬勃,97
吳斯懷,97
漢光,97
彭,97
公私,96
成人,96
幼童,96
深度,96
外事,96
敵方,96
宏都拉斯,96
訴,96
駐美,96
季營,96
世界秩序,96
涵蓋率,96
海面,96
將軍,96
病毒感染,96
指派,96
香港政府,96
新區,96
新建,96
台達,96
資通,96
消費性,96
布條,95
所指,95
顏寬恒,95
平息,95
職員,95
政治性,95
